Synapse proteins,Gnai3,,#4363D8
Ungrouped,Ngfr,,#ff6b97
Ungrouped,Wnt3,,#a3ff19
Ungrouped,Ccnd2,,#ff4028
Ungrouped,Lhx2,,#ffd547
Ungrouped,Itgb2,,#a8efff
Ungrouped,Cdh1,,#ff4028
Ungrouped,Cdh4,,#a851ff
Ungrouped,Plin2,,#ffd547
Ungrouped,Pdgfra,,#5eff7b
Ungrouped,Pdgfb,,#f06cfe
Ungrouped,Sox9,,#ff4028
Ungrouped,Sema4f,,#a8efff
Ungrouped,Ddx3x,,#f06cfe
Ungrouped,S100a6,,#a8efff
Ungrouped,Icam2,,#f06cfe
Ungrouped,Sema6b,,#ff9f5d
Ungrouped,Efnb2,,#449fff
Ungrouped,Smo,,#ffd547
Ungrouped,Plxnb3,,#a3ff19
Ungrouped,Spi1,,#5eff7b
Ungrouped,Tgfb1,,#a8efff
Ungrouped,Shh,,#ff6b97
Glutamatergic synapses,Grin2d,,#3CB44B
Ungrouped,Lamb1,,#ff6b97
Ungrouped,Cdkn1b,,#5eff7b
Ungrouped,Efna2,,#ff6b97
Glutamatergic synapses,Grin2c,,#3CB44B
Ungrouped,Rnd1,,#449fff
Ungrouped,Calb2,,#ffd547
Ungrouped,Efnb3,,#ffd547
Glutamatergic synapses,Grm3,,#3CB44B
Ungrouped,Plxna3,,#5eff7b
Ungrouped,Pax2,,#a3ff19
Synaptic vesicles cycle,Atp6v1f,,#FFE119
Ungrouped,Sst,,#ff6b97
Ungrouped,Map2k1,,#ffd547
Ungrouped,Cstb,,#ff4028
Ungrouped,Trp53,,#5eff7b
Synaptic vesicles cycle,Slc1a6,,#FFE119
Synaptic vesicles cycle,Slc1a3,,#FFE119
Synapse proteins,Stx1a,,#4363D8
Synapse proteins,Prkaca,,#4363D8
Ungrouped,Igf1r,,#a3ff19
Ungrouped,Kit,,#ffd547
Ungrouped,Pvalb,,#5eff7b
Ungrouped,Ephb3,,#ff4028
Ungrouped,Crkl,,#5eff7b
Synaptic vesicles cycle,Atp6v1b1,,#FFE119
Ungrouped,Epha2,,#ffd547
Ungrouped,Cdk4,,#a3ff19
Ungrouped,Hcn1,,#ff9f5d
Ungrouped,Ctnnb1,,#449fff
Ungrouped,Clcn2,,#a8efff
Ungrouped,Tgfbr1,,#5eff7b
GABAergic synapses,Gabrb2,,#E6194B
Ungrouped,Rhoa,,#ff6b97
Ungrouped,Id3,,#ff6b97
Ungrouped,Bmp7,,#ff4028
Ungrouped,Ascl2,,#ffd547
Ungrouped,Wnt3a,,#ff4028
Synapse proteins,Gosr1,,#4363D8
Ungrouped,Bmp5,,#a3ff19
Synaptic vesicles cycle,Atp6v0d1,,#FFE119
Ungrouped,Pten,,#f06cfe
Ungrouped,Dll1,,#2828ff
Ungrouped,Limk1,,#f06cfe
Ungrouped,Gzmb,,#2828ff
Synaptic vesicles cycle,Atp6v0e,,#FFE119
Ungrouped,Cers2,,#a851ff
Ungrouped,Cd34,,#ff4028
Ungrouped,Cd274,,#ff6b97
Ungrouped,Sdc4,,#ffd547
Ungrouped,Rnd3,,#ffd547
Synapse proteins,Cacnb1,,#4363D8
Ungrouped,Rac3,,#ff4028
Ungrouped,Mfng,,#a8efff
Ungrouped,Cldn7,,#a3ff19
Ungrouped,Pdlim4,,#2828ff
Ungrouped,Lhx1,,#449fff
Synaptic vesicles cycle,Ap2b1,,#FFE119
Ungrouped,Ndel1,,#5eff7b
Ungrouped,Cd22,,#2828ff
Ungrouped,Mdh2,,#f06cfe
Synaptic vesicles cycle,Atp6v1e1,,#FFE119
Ungrouped,Cd70,,#ffd547
Ungrouped,Sema6a,,#2828ff
Ungrouped,Vip,,#a851ff
Ungrouped,Nr2e1,,#2828ff
Ungrouped,Fabp7,,#a3ff19
Synaptic vesicles cycle,Slc17a8,,#FFE119
Synapse proteins,Stx7,,#4363D8
Ungrouped,Ntn4,,#a851ff
Ungrouped,Vsir,,#f06cfe
Ungrouped,Srgap1,,#ff4028
Ungrouped,Egfr,,#a851ff
Synapse proteins,Mdm2,,#4363D8
Ungrouped,Madcam1,,#a3ff19
Glutamatergic synapses,Adcy1,,#3CB44B
Ungrouped,Efemp1,,#a8efff
Ungrouped,Rock2,,#ff9f5d
Ungrouped,Sdc1,,#a3ff19
Synapse proteins,Adcy3,,#4363D8
Ungrouped,Dnajc27,,#ffd547
Ungrouped,Pomc,,#ffd547
Ungrouped,Ddx5,,#5eff7b
Synapse proteins,Vamp2,,#4363D8
Ungrouped,Ntn1,,#449fff
Ungrouped,Gosr2,,#ffd547
Ungrouped,Foxg1,,#ff4028
Synaptic vesicles cycle,Atp6v1d,,#FFE119
Ungrouped,Fos,,#ff9f5d
Synapse proteins,Gng4,,#4363D8
Ungrouped,Id4,,#2828ff
Ungrouped,Ripk1,,#ff4028
Ungrouped,Cxcl14,,#ff9f5d
Glutamatergic synapses,Adcy2,,#3CB44B
Synaptic vesicles cycle,Slc6a3,,#FFE119
Ungrouped,Fezf2,,#449fff
Ungrouped,Ccdc25,,#ffd547
Ungrouped,Clu,,#ff4028
Ungrouped,Chrna2,,#449fff
Ungrouped,Dpysl2,,#ff6b97
Ungrouped,Sdc2,,#ff4028
Synaptic vesicles cycle,Atp6v1c1,,#FFE119
Ungrouped,Rbx1,,#ff4028
Glutamatergic synapses,Slc38a2,,#3CB44B
Ungrouped,Bcl6,,#ff6b97
Ungrouped,Cldn1,,#f06cfe
Ungrouped,Hes1,,#ff4028
Ungrouped,Alcam,,#449fff
Ungrouped,Nectin3,,#ff4028
Synapse proteins,Snap29,,#4363D8
Ungrouped,Pak2,,#a3ff19
Ungrouped,Gsk3b,,#5eff7b
Ungrouped,Klhl24,,#a8efff
Ungrouped,Clic6,,#2828ff
Ungrouped,Nr4a1,,#a3ff19
Ungrouped,Sncg,,#f06cfe
Glutamatergic synapses,Grm2,,#3CB44B
GABAergic synapses,Gabrr2,,#E6194B
Ungrouped,Cd4,,#a851ff
Ungrouped,Dlx2,,#a3ff19
Synapse proteins,Gnb3,,#4363D8
Ungrouped,Trem2,,#a8efff
Ungrouped,Ntn3,,#ffd547
Synaptic vesicles cycle,Atp6v0c,,#FFE119
Ungrouped,Cdh2,,#449fff
Ungrouped,Bin1,,#ff4028
Synapse proteins,Gnal,,#4363D8
Ungrouped,Lmnb1,,#ff9f5d
Ungrouped,Pdgfrb,,#ff6b97
Ungrouped,Csf1r,,#ff9f5d
Glutamatergic synapses,Gnaq,,#3CB44B
Ungrouped,Fas,,#ffd547
Glutamatergic synapses,Grk2,,#3CB44B
Synapse proteins,Apba1,,#4363D8
Synaptic vesicles cycle,Slc1a1,,#FFE119
Ungrouped,Bhlhe22,,#a3ff19
Ungrouped,Itgb8,,#ff6b97
Ungrouped,Tac2,,#5eff7b
Ungrouped,Nrp1,,#f06cfe
Synaptic vesicles cycle,Cplx2,,#FFE119
Ungrouped,Prex2,,#449fff
Ungrouped,Hspd1,,#449fff
Ungrouped,Cd28,,#a3ff19
GABAergic synapses,Trak2,,#E6194B
Ungrouped,Epha4,,#a8efff
Ungrouped,Ngef,,#5eff7b
Ungrouped,Pdcd1,,#ffd547
Synapse proteins,Stx6,,#4363D8
Ungrouped,Rgs16,,#5eff7b
Ungrouped,Parp1,,#2828ff
Ungrouped,Plxna2,,#f06cfe
Ungrouped,Rgs4,,#a8efff
Ungrouped,Mrc1,,#a3ff19
Ungrouped,Vim,,#ffd547
Ungrouped,Itga8,,#ff9f5d
Synapse proteins,Gad2,,#4363D8
Ungrouped,Nr4a2,,#ff4028
Ungrouped,Gsn,,#ff6b97
Ungrouped,Chrna1,,#ff4028
Ungrouped,Stmn2,,#a3ff19
GABAergic synapses,Src,,#E6194B
Ungrouped,Ccna2,,#ff9f5d
Ungrouped,Trpc3,,#ff9f5d
Ungrouped,Trpc4,,#a3ff19
Ungrouped,P2ry1,,#f06cfe
Ungrouped,Nras,,#ffd547
Ungrouped,Cd2,,#ffd547
Synapse proteins,Sec22b,,#4363D8
Ungrouped,Chrnb2,,#a851ff
Ungrouped,Efna1,,#5eff7b
Ungrouped,Vcam1,,#a3ff19
Ungrouped,Neurog2,,#ff6b97
Ungrouped,Npy2r,,#ff6b97
Ungrouped,Efna3,,#2828ff
Ungrouped,Efna4,,#ff9f5d
Ungrouped,Arhgef2,,#5eff7b
Ungrouped,Calb1,,#449fff
GABAergic synapses,Gabrr1,,#E6194B
Ungrouped,Bmpr1b,,#449fff
Glutamatergic synapses,Ppp3r2,,#3CB44B
Ungrouped,Nr4a3,,#449fff
Synaptic vesicles cycle,Unc13a,,#FFE119
Ungrouped,Cdc42,,#a3ff19
Ungrouped,Epha8,,#2828ff
Ungrouped,Alpl,,#f06cfe
Synapse proteins,Gnat3,,#4363D8
Ungrouped,Sema3c,,#5eff7b
Ungrouped,Stmn1,,#ff9f5d
Glutamatergic synapses,Grik3,,#3CB44B
Ungrouped,Sema3a,,#a8efff
Ungrouped,Casp9,,#449fff
Synapse proteins,Vamp3,,#4363D8
Ungrouped,Cdk5,,#ff4028
Ungrouped,Draxin,,#2828ff
Ungrouped,Sema3d,,#ff6b97
GABAergic synapses,Gabrd,,#E6194B
Synapse proteins,Gnb1,,#4363D8
Ungrouped,Crmp1,,#ff6b97
GABAergic synapses,Gabrg1,,#E6194B
GABAergic synapses,Gabra4,,#E6194B
GABAergic synapses,Gabrb1,,#E6194B
Ungrouped,Sparcl1,,#f06cfe
Synapse proteins,Stx2,,#4363D8
Ungrouped,Lhx5,,#a851ff
Synapse proteins,Gng11,,#4363D8
Synapse proteins,Gngt1,,#4363D8
Ungrouped,Cul1,,#ffd547
Ungrouped,Evx1,,#2828ff
Ungrouped,Npy,,#5eff7b
Ungrouped,Hpgds,,#a3ff19
Ungrouped,Aldh1l1,,#ffd547
Synaptic vesicles cycle,Slc6a12,,#FFE119
Ungrouped,Lrp6,,#f06cfe
Ungrouped,Kras,,#f06cfe
Synaptic vesicles cycle,Slc6a11,,#FFE119
Synaptic vesicles cycle,Slc6a1,,#FFE119
Synapse proteins,Vamp1,,#4363D8
Ungrouped,Cd9,,#ff6b97
Synaptic vesicles cycle,Slc17a6,,#FFE119
Ungrouped,Sema4b,,#449fff
Ungrouped,Pak1,,#ff9f5d
Ungrouped,Bax,,#a8efff
Ungrouped,Rgs10,,#f06cfe
Ungrouped,Mki67,,#f06cfe
Ungrouped,Fadd,,#ff4028
Ungrouped,Fgf13,,#a851ff
Ungrouped,Dcx,,#a8efff
Ungrouped,Map3k15,,#a8efff
Ungrouped,Acsl1,,#ffd547
Ungrouped,Sall1,,#5eff7b
Glutamatergic synapses,Gnao1,,#3CB44B
Ungrouped,Cx3cl1,,#5eff7b
Ungrouped,Cdh5,,#a8efff
Ungrouped,Cdh15,,#5eff7b
Ungrouped,Arv1,,#ff4028
Ungrouped,Jam3,,#449fff
Ungrouped,Nectin1,,#ff9f5d
Ungrouped,Dixdc1,,#a851ff
Ungrouped,Eomes,,#ff9f5d
Ungrouped,Clstn2,,#ff9f5d
Ungrouped,Pik3cb,,#449fff
Ungrouped,Cldn18,,#5eff7b
Ungrouped,Ephb1,,#ff9f5d
Ungrouped,Ryk,,#a851ff
Ungrouped,Pak7,,#a851ff
Synaptic vesicles cycle,Atp6v1g1,,#FFE119
Ungrouped,Olig2,,#449fff
Ungrouped,Cspg4,,#a3ff19
Ungrouped,Vhl,,#449fff
Ungrouped,Parp2,,#ff9f5d
Ungrouped,Foxj1,,#449fff
Glutamatergic synapses,Gria1,,#3CB44B
Synaptic vesicles cycle,Atp6v0b,,#FFE119
Ungrouped,S100b,,#f06cfe
Ungrouped,Atp1a1,,#f06cfe
Ungrouped,Efhd2,,#f06cfe
Ungrouped,Gbx2,,#2828ff
Ungrouped,Kcnt1,,#a3ff19
Ungrouped,Nrn1,,#a8efff
Synaptic vesicles cycle,Atp6v0a2,,#FFE119
Ungrouped,Ssh2,,#f06cfe
Ungrouped,Ptprm,,#a851ff
Ungrouped,Ssh3,,#5eff7b
Ungrouped,Btg1,,#a8efff
Ungrouped,Mboat7,,#ff4028
Ungrouped,Kcna2,,#f06cfe
Ungrouped,Cd6,,#a8efff
Ungrouped,Cacng5,,#ff9f5d
Ungrouped,Gjb6,,#449fff
Synapse proteins,Ntrk3,,#4363D8
Ungrouped,Acta2,,#a851ff
GABAergic synapses,Gabrb3,,#E6194B
Ungrouped,Chd6,,#ff6b97
Ungrouped,Cd276,,#2828ff
Ungrouped,Ccdc88a,,#a8efff
Ungrouped,Trpc5,,#ff4028
Ungrouped,Cep44,,#449fff
Synaptic vesicles cycle,Atp6v0e2,,#FFE119
Ungrouped,Kctd7,,#449fff
Ungrouped,P2ry13,,#ff6b97
Ungrouped,Neurod1,,#a8efff
Synapse proteins,Gng10,,#4363D8
Ungrouped,Neurod2,,#f06cfe
Ungrouped,Psen1,,#ffd547
Ungrouped,Dicer1,,#ff4028
Ungrouped,Smim3,,#449fff
Ungrouped,Fbxo45,,#ff9f5d
Ungrouped,Slitrk5,,#2828ff
Synapse proteins,Camk4,,#4363D8
Synapse proteins,Kcnj2,,#4363D8
Ungrouped,Sema7a,,#449fff
Ungrouped,Thrsp,,#ff6b97
Synapse proteins,Gng12,,#4363D8
Ungrouped,Rac2,,#a3ff19
Ungrouped,Pvr,,#ff6b97
Ungrouped,Cldn5,,#2828ff
Glutamatergic synapses,Pla2g4c,,#3CB44B
Ungrouped,Zyg11b,,#ff9f5d
Ungrouped,F11r,,#ff9f5d
Ungrouped,Rras,,#a3ff19
Ungrouped,Itga9,,#a3ff19
Ungrouped,Igfbpl1,,#449fff
Glutamatergic synapses,Grm1,,#3CB44B
Ungrouped,Cdk19,,#a8efff
Synaptic vesicles cycle,Atp6v0a1,,#FFE119
Ungrouped,Neurod6,,#5eff7b
Glutamatergic synapses,Gls2,,#3CB44B
Synaptic vesicles cycle,Cplx3,,#FFE119
Glutamatergic synapses,Grin3b,,#3CB44B
Ungrouped,Tgfb2,,#f06cfe
Ungrouped,Socs7,,#ff6b97
Synaptic vesicles cycle,Slc32a1,,#FFE119
Ungrouped,Wnt4,,#449fff
Ungrouped,Sfxn5,,#a851ff
Ungrouped,Emx1,,#5eff7b
Ungrouped,Astn1,,#a851ff
Ungrouped,Mpped1,,#ff6b97
Ungrouped,Cldn11,,#ffd547
Ungrouped,C1qa,,#5eff7b
Ungrouped,Lrig2,,#a851ff
Ungrouped,C1qc,,#2828ff
Ungrouped,C1qb,,#ff6b97
Ungrouped,Arx,,#449fff
Synaptic vesicles cycle,Cplx1,,#FFE119
Ungrouped,Igfbp2,,#ff4028
Ungrouped,Cldn10,,#449fff
Ungrouped,Atp1b2,,#2828ff
Ungrouped,Fbxo2,,#a8efff
Ungrouped,Coro2b,,#a3ff19
Ungrouped,Rhod,,#ff9f5d
Ungrouped,Hoxa9,,#2828ff
Ungrouped,Fbxo38,,#2828ff
Ungrouped,Tbr1,,#a3ff19
Ungrouped,Ptprf,,#449fff
Ungrouped,Lrp1,,#a8efff
Glutamatergic synapses,Itpr3,,#3CB44B
Ungrouped,Kank1,,#a8efff
Ungrouped,Hes5,,#449fff
Ungrouped,Cldn8,,#ff4028
Ungrouped,Myt1l,,#a851ff
Ungrouped,Gpr183,,#5eff7b
Ungrouped,Trpc6,,#449fff
Ungrouped,Sema5b,,#ff6b97
Ungrouped,Cldn14,,#a851ff
Ungrouped,Wdr47,,#2828ff
Ungrouped,Akt2,,#ff4028
Ungrouped,Fbxo28,,#5eff7b
Ungrouped,Chd7,,#2828ff
Ungrouped,Rbp1,,#a3ff19
Ungrouped,Pard6b,,#5eff7b
Ungrouped,Cxcr4,,#a3ff19
Ungrouped,Dlx5,,#ff4028
Ungrouped,Efnb1,,#ff4028
Ungrouped,Axin2,,#ffd547
Ungrouped,Nipbl,,#ff9f5d
Ungrouped,Cdk5r1,,#449fff
Ungrouped,Frrs1l,,#ffd547
Ungrouped,Stxbp6,,#a8efff
Synapse proteins,Grin2b,,#4363D8
Ungrouped,Ndnf,,#ff6b97
Ungrouped,Gpr151,,#f06cfe
Ungrouped,Vtcn1,,#ff6b97
Ungrouped,Pou3f3,,#a8efff
Ungrouped,Cldn2,,#5eff7b
Ungrouped,Fn1,,#ff6b97
Synapse proteins,Stx19,,#4363D8
Synapse proteins,Gnai2,,#4363D8
Ungrouped,Ccr2,,#449fff
GABAergic synapses,Gabra3,,#E6194B
Ungrouped,Eef1a2,,#a851ff
Ungrouped,Nlgn2,,#449fff
Ungrouped,Bmerb1,,#2828ff
Ungrouped,Olig1,,#ff4028
Ungrouped,Cnr1,,#449fff
Ungrouped,Rnf7,,#a8efff
Ungrouped,Lamp5,,#2828ff
Glutamatergic synapses,Mapk3,,#3CB44B
Ungrouped,C1ql1,,#ff9f5d
Ungrouped,Sall3,,#ff6b97
Ungrouped,Mcm2,,#ffd547
Ungrouped,Lrrc4b,,#2828ff
Ungrouped,Cd24a,,#ff9f5d
Ungrouped,Tuba1c,,#f06cfe
Ungrouped,Fbxo31,,#ff6b97
Ungrouped,Lrrc4c,,#ff9f5d
Ungrouped,Ephb2,,#a3ff19
Synapse proteins,Prkca,,#4363D8
Ungrouped,Nxph1,,#ff9f5d
Ungrouped,Cntnap2,,#ff6b97
Ungrouped,Rtn4,,#ffd547
Ungrouped,Ccdc80,,#a851ff
Ungrouped,Ephb4,,#449fff
Ungrouped,Crh,,#a8efff
Ungrouped,C1ql3,,#a3ff19
Ungrouped,Kcng4,,#a3ff19
Ungrouped,Ptgs1,,#5eff7b
Ungrouped,Lrrc4,,#ff6b97
Ungrouped,Rasd1,,#f06cfe
Ungrouped,Cdh20,,#ff6b97
Ungrouped,Cenpe,,#a3ff19
Ungrouped,Agt,,#ff9f5d
Ungrouped,Wnt5a,,#ffd547
Ungrouped,Cdkn2c,,#ff6b97
Ungrouped,Pld4,,#449fff
Ungrouped,Sp8,,#a851ff
Ungrouped,Gpr17,,#a8efff
Synaptic vesicles cycle,Syt1,,#FFE119
Ungrouped,Cx3cr1,,#ff6b97
Ungrouped,Epha3,,#a851ff
Synapse proteins,Dlg1,,#4363D8
Ungrouped,Lnpk,,#ff4028
Synaptic vesicles cycle,Slc6a13,,#FFE119
Ungrouped,Nfib,,#a8efff
GABAergic synapses,Gabre,,#E6194B
Ungrouped,Itgam,,#449fff
Ungrouped,Junb,,#a851ff
Glutamatergic synapses,Prkcb,,#3CB44B
Glutamatergic synapses,Grk3,,#3CB44B
Ungrouped,Cd8b1,,#5eff7b
Ungrouped,Btrc,,#f06cfe
Ungrouped,Bcl11b,,#2828ff
Ungrouped,Smad1,,#a3ff19
Ungrouped,Cd8a,,#f06cfe
Ungrouped,Chl1,,#ff9f5d
Glutamatergic synapses,Kcnj3,,#3CB44B
Ungrouped,Chrna4,,#ffd547
Ungrouped,Sox4,,#a3ff19
Ungrouped,Rhob,,#2828ff
Ungrouped,Gfap,,#ff4028
Ungrouped,Sema5a,,#5eff7b
Ungrouped,Ncam2,,#f06cfe
Ungrouped,Cdh24,,#2828ff
Ungrouped,Tmem119,,#a3ff19
Ungrouped,Hmgb2,,#ffd547
Ungrouped,Rock1,,#2828ff
Ungrouped,Set,,#ffd547
Ungrouped,Top2a,,#ffd547
Ungrouped,Ccdc88c,,#f06cfe
GABAergic synapses,Gabra5,,#E6194B
Ungrouped,Neo1,,#ffd547
Ungrouped,Mpzl1,,#ff9f5d
Ungrouped,Epha6,,#5eff7b
Ungrouped,Epm2a,,#a851ff
Glutamatergic synapses,Mapk1,,#3CB44B
Ungrouped,Tead1,,#449fff
Ungrouped,Rras2,,#ff4028
Synapse proteins,Syp,,#4363D8
Ungrouped,Ocln,,#a3ff19
Ungrouped,Slit3,,#a851ff
Ungrouped,Slitrk4,,#ff6b97
Ungrouped,Chat,,#f06cfe
Glutamatergic synapses,Ppp3ca,,#3CB44B
Glutamatergic synapses,Pla2g4a,,#3CB44B
Ungrouped,Pard6g,,#ff6b97
Ungrouped,Kcnq3,,#ff9f5d
Ungrouped,Synpr,,#ff4028
Ungrouped,Sdc3,,#449fff
GABAergic synapses,Gabrg2,,#E6194B
Ungrouped,Alg13,,#a8efff
Ungrouped,Tubb3,,#2828ff
Ungrouped,Nf1,,#2828ff
Ungrouped,Nptx2,,#f06cfe
Synapse proteins,Camk2g,,#4363D8
